case,class,dice
case003,1,0.7904
case003,2,0.9126460132046724
case006,1,0.7695664030542678
case006,2,0.8840713813615334
case010,1,0.8170880292415473
case010,2,0.3128349068639959
case011,1,0.6993006993006993
case011,2,0.0
case036,1,0.6553454910490213
case036,2,0.0
case037,1,0.6794343434343434
case037,2,nan
case039,1,0.7610780256384375
case039,2,0.0
case040,1,0.5063644830797889
case040,2,nan
