case,class,dice
case003,1,0.795464307190104
case003,2,0.9207660533233195
case006,1,0.754147362128232
case006,2,0.8904453548301837
case010,1,0.8209736657028991
case010,2,0.7206798866855524
case011,1,0.7390632246096769
case011,2,0.5419407894736842
case036,1,0.6302571600584845
case036,2,0.0
case037,1,0.6589498406307667
case037,2,0.0
case039,1,0.7553225633893228
case039,2,0.0
case040,1,0.4575120092761305
case040,2,nan
