case,class,dice
case003,1,0.7762053250179899
case003,2,0.9081321771736584
case006,1,0.7773103148121282
case006,2,0.9006999644085893
case010,1,0.7931854807766097
case010,2,0.7938293427607264
case011,1,0.7178738766418312
case011,2,0.8586787381524968
case036,1,0.6727359846669861
case036,2,0.0
case037,1,0.6702278607795676
case037,2,0.0
case039,1,0.6999220576773187
case039,2,0.0
case040,1,0.5346001134429949
case040,2,0.0
