case,class,dice
case003,1,0.7722983257229833
case003,2,0.9114359415305245
case006,1,0.7820366132723112
case006,2,0.9065842030666151
case010,1,0.840179181535191
case010,2,0.6378683891804602
case011,1,0.7415324401625771
case011,2,0.8260392156862745
case036,1,0.6255817962420273
case036,2,0.0
case037,1,0.6429728117276059
case037,2,0.0
case039,1,0.7288991791201852
case039,2,0.0
case040,1,0.4745222929936306
case040,2,nan
