case,class,dice
case003,1,0.7870189171559034
case003,2,0.9192004845548153
case006,1,0.7698924731182796
case006,2,0.9175443103005394
case010,1,0.8348885632760084
case010,2,0.5036160420775806
case011,1,0.7469107551487414
case011,2,0.7491329479768786
case036,1,0.6552861619660234
case036,2,0.0
case037,1,0.6308103294746216
case037,2,0.0
case039,1,0.7152061855670103
case039,2,0.0
case040,1,0.5690245293782088
case040,2,nan
