case,class,dice
case003,1,0.7919778467735168
case003,2,0.9266211604095563
case006,1,0.7785554728220402
case006,2,0.9041131105398458
case010,1,0.823465168889929
case010,2,0.79691065473056
case011,1,0.7444316877152698
case011,2,0.8376492479454178
case036,1,0.6266222378112943
case036,2,0.0
case037,1,0.6596095444685466
case037,2,0.0
case039,1,0.738404452690167
case039,2,0.0
case040,1,0.49984081502706146
case040,2,nan
