case,class,dice
case003,1,0.7900193880131501
case003,2,0.9243027888446215
case006,1,0.7786931818181818
case006,2,0.8916129032258064
case010,1,0.8199586111749828
case010,2,0.8216539355695782
case011,1,0.7193815064298836
case011,2,0.8578481196457093
case036,1,0.6218150087260035
case036,2,0.0
case037,1,0.6171637248934875
case037,2,0.0
case039,1,0.7416020671834626
case039,2,0.0
case040,1,0.493522906793049
case040,2,nan
