case_path,shape,case_stats,cand1,score1,cand1_stats,cand2,score2,cand2_stats,cand3,score3,cand3_stats,status
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case030_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2271.0,mean=123.696",cand1=0010226650_S006a.nii.gz,score1=1013.3265,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=1013.3269,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=1150.3457,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case031_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2125.0,mean=128.641",cand1=0010226650_S006a.nii.gz,score1=1047.5590,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=1047.5593,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=1174.7265,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case032_0000.nii.gz,"(256, 256, 52)","min=0.0,max=18784.0,mean=375.124",cand1=0007100648_S003a.nii.gz,score1=0.0000,"cand1_stats=min=0.0,max=18784.0,mean=375.124",cand2=0007100648_S003.nii.gz,score2=0.0002,"cand2_stats=min=0.0,max=18784.0,mean=375.124",cand3=0007612028_S007.nii.gz,score3=75.6075,"cand3_stats=min=0.0,max=18694.0,mean=318.848",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case033_0000.nii.gz,"(256, 256, 52)","min=0.0,max=13892.0,mean=225.603",cand1=0010253999_S006a.nii.gz,score1=0.0000,"cand1_stats=min=0.0,max=13892.0,mean=225.603",cand2=0010253999_S006b.nii.gz,score2=0.0000,"cand2_stats=min=0.0,max=13892.0,mean=225.603",cand3=0010253999_S006.nii.gz,score3=0.0002,"cand3_stats=min=0.0,max=13892.0,mean=225.603",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case034_0000.nii.gz,"(256, 256, 52)","min=0.0,max=8890.0,mean=169.345",cand1=0006041058_S003a.nii.gz,score1=0.0000,"cand1_stats=min=0.0,max=8890.0,mean=169.345",cand2=0006041058_S003.nii.gz,score2=0.0002,"cand2_stats=min=0.0,max=8890.0,mean=169.344",cand3=0003270514_S006.nii.gz,score3=40.4561,"cand3_stats=min=0.0,max=8923.0,mean=202.230",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case035_0000.nii.gz,"(256, 256, 52)","min=0.0,max=13335.0,mean=319.630",cand1=0008893374_S004a.nii.gz,score1=0.0000,"cand1_stats=min=0.0,max=13335.0,mean=319.630",cand2=0008893374_S004.nii.gz,score2=0.0000,"cand2_stats=min=0.0,max=13335.0,mean=319.630",cand3=0007021826_S003.nii.gz,score3=79.4942,"cand3_stats=min=0.0,max=13319.0,mean=244.412",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case036_0000.nii.gz,"(256, 256, 52)","min=0.0,max=11781.0,mean=325.498",cand1=0007871131_S003.nii.gz,score1=0.0000,"cand1_stats=min=0.0,max=11781.0,mean=325.498",cand2=0007871131_S003a.nii.gz,score2=0.0000,"cand2_stats=min=0.0,max=11781.0,mean=325.498",cand3=0007871131_S003b.nii.gz,score3=0.0000,"cand3_stats=min=0.0,max=11781.0,mean=325.498",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case037_0000.nii.gz,"(256, 256, 52)","min=0.0,max=10100.0,mean=255.352",cand1=0000738343_S003.nii.gz,score1=0.0009,"cand1_stats=min=0.0,max=10100.0,mean=255.351",cand2=0007430392_S004.nii.gz,score2=113.7495,"cand2_stats=min=0.0,max=9839.0,mean=195.004",cand3=0007430392_S004a.nii.gz,score3=113.7499,"cand3_stats=min=0.0,max=9839.0,mean=195.004",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case038_0000.nii.gz,"(256, 256, 52)","min=0.0,max=15489.0,mean=401.516",cand1=0010130038_S005a.nii.gz,score1=0.0000,"cand1_stats=min=0.0,max=15489.0,mean=401.516",cand2=0010130038_S005.nii.gz,score2=0.0004,"cand2_stats=min=0.0,max=15489.0,mean=401.515",cand3=0008889111_S003a.nii.gz,score3=106.6529,"cand3_stats=min=0.0,max=15763.0,mean=351.223",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case039_0000.nii.gz,"(256, 256, 52)","min=0.0,max=8498.0,mean=167.283",cand1=0010168569_S003a.nii.gz,score1=0.0000,"cand1_stats=min=0.0,max=8498.0,mean=167.283",cand2=0010168569_S003.nii.gz,score2=0.0003,"cand2_stats=min=0.0,max=8498.0,mean=167.284",cand3=0006041058_S003.nii.gz,score3=81.6631,"cand3_stats=min=0.0,max=8890.0,mean=169.344",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case040_0000.nii.gz,"(256, 256, 52)","min=0.0,max=18694.0,mean=318.845",cand1=0007612028_S007a.nii.gz,score1=0.0000,"cand1_stats=min=0.0,max=18694.0,mean=318.845",cand2=0007612028_S007.nii.gz,score2=0.0021,"cand2_stats=min=0.0,max=18694.0,mean=318.848",cand3=0006445515_S005.nii.gz,score3=62.3419,"cand3_stats=min=0.0,max=18625.0,mean=271.702",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case041_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2478.0,mean=133.599",cand1=0010226650_S006a.nii.gz,score1=981.6466,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=981.6470,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=1099.3026,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case042_0000.nii.gz,"(256, 256, 52)","min=0.0,max=6078.0,mean=129.214",cand1=0010226650_S006a.nii.gz,score1=257.1675,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=257.1678,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=383.6101,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
